Time,Reltime,Treflect
9:23:26,86.1,21.81526
9:23:26,86.2,21.76197
9:23:26,86.3,21.74764
9:23:26,86.4,21.73253
9:23:26,86.5,21.73253
9:23:26,86.6,21.73253
9:23:26,86.7,21.73253
9:23:26,86.8,21.73253
9:23:26,86.9,21.73253
9:23:26,87,21.73253
9:23:27,87.1,21.73253
9:23:27,87.2,21.73253
9:23:27,87.3,21.73253
9:23:27,87.4,21.73253
9:23:27,87.5,21.73253
9:23:27,87.6,21.87565
9:23:27,87.7,21.9014
9:23:27,87.8,21.92265
9:23:27,87.9,21.9398
9:23:27,88,21.92919
9:23:28,88.1,21.90484
9:23:28,88.2,21.93847
9:23:28,88.3,21.87078
9:23:28,88.4,21.92338
9:23:28,88.5,21.92004
9:23:28,88.6,21.92002
9:23:28,88.7,21.91118
9:23:28,88.8,21.88447
9:23:28,88.9,21.88588
9:23:28,89,21.9191
9:23:29,89.1,21.93666
9:23:29,89.2,21.89684
9:23:29,89.3,21.94145
9:23:29,89.4,21.8997
9:23:29,89.5,21.89304
9:23:29,89.6,21.87378
9:23:29,89.7,21.95192
9:23:29,89.8,21.89475
9:23:29,89.9,21.88593
9:23:29,90,21.86538
9:23:30,90.1,21.90982
9:23:30,90.2,21.92268
9:23:30,90.3,21.91981
9:23:30,90.4,21.93437
9:23:30,90.5,21.91858
9:23:30,90.6,21.89085
9:23:30,90.7,21.9126
9:23:30,90.8,21.9145
9:23:30,90.9,21.89959
9:23:30,91,21.90743
9:23:31,91.1,21.87814
9:23:31,91.2,21.89072
9:23:31,91.3,21.88167
9:23:31,91.4,21.95393
9:23:31,91.5,21.94301
9:23:31,91.6,21.91933
9:23:31,91.7,21.91409
9:23:31,91.8,21.95272
9:23:31,91.9,21.88057
9:23:31,92,21.93269
9:23:32,92.1,21.90496
9:23:32,92.2,21.93031
9:23:32,92.3,21.9218
9:23:32,92.4,21.99794
9:23:32,92.5,21.95226
9:23:32,92.6,21.98167
